subset	evidence	points	cutoff	reached
del	PP3_Supporting	1	0.7	TRUE
del	PP3_Moderate	2	0.892	TRUE
del	PP3_Moderate3	3	0.953	TRUE
del	PP3_Strong	4		FALSE
del	BP4_Supporting	-1	0.344	TRUE
del	BP4_Moderate	-2	0.202	TRUE
del	BP4_Moderate3	-3	0.0846666666666667	TRUE
del	BP4_Strong	-4	0.017	TRUE
ins	PP3_Supporting	1	0.587	TRUE
ins	PP3_Moderate	2	0.808	TRUE
ins	PP3_Moderate3	3	0.944	TRUE
ins	PP3_Strong	4	0.972	TRUE
ins	BP4_Supporting	-1	0.182	TRUE
ins	BP4_Moderate	-2	0.0373333333333333	TRUE
ins	BP4_Moderate3	-3	0.003	TRUE
ins	BP4_Strong	-4	0.00233333333333333	TRUE
