indel_type	indelvar	acmg_points	bin
deletion	0.612	0	No-evidence
deletion	0.479	0	No-evidence
deletion	0.823	1	PP3_+1
deletion	0.085	-2	BP4_-2
deletion	0.829	1	PP3_+1
deletion	0.593	0	No-evidence
deletion	0.755	1	PP3_+1
deletion	0.894	1	PP3_+1
deletion	0.716	0	No-evidence
deletion	0.77	1	PP3_+1
deletion	0.695	0	No-evidence
deletion	0.704	0	No-evidence
deletion	0.775	1	PP3_+1
deletion	0.58	0	No-evidence
deletion	0.102	-2	BP4_-2
deletion	0.219	-2	BP4_-2
deletion	0.6	0	No-evidence
deletion	0.443	0	No-evidence
deletion	0.485	0	No-evidence
deletion	0.069	-2	BP4_-2
deletion	0.18	-2	BP4_-2
deletion	0.114	-2	BP4_-2
deletion	0.195	-2	BP4_-2
deletion	0.853	1	PP3_+1
deletion	0.816	1	PP3_+1
deletion	0.975	3	PP3_+3
deletion	0.97	3	PP3_+3
deletion	0.411	0	No-evidence
deletion	0.741	1	PP3_+1
deletion	0.977	3	PP3_+3
deletion	0.93	2	PP3_+2
deletion	0.071	-2	BP4_-2
deletion	0.225	-2	BP4_-2
deletion	0.06	-2	BP4_-2
deletion	0.091	-2	BP4_-2
deletion	0.285	-1	BP4_-1
deletion	0.158	-2	BP4_-2
deletion	0.247	-2	BP4_-2
deletion	0.792	1	PP3_+1
deletion	0.783	1	PP3_+1
deletion	0.69	0	No-evidence
deletion	0.951	2	PP3_+2
deletion	0.934	2	PP3_+2
deletion	0.667	0	No-evidence
deletion	0.209	-2	BP4_-2
deletion	0.972	3	PP3_+3
deletion	0.028	-3	BP4_-3
deletion	0.037	-3	BP4_-3
deletion	0.067	-2	BP4_-2
deletion	0.223	-2	BP4_-2
deletion	0.057	-2	BP4_-2
deletion	0.247	-2	BP4_-2
deletion	0.244	-2	BP4_-2
deletion	0.38	0	No-evidence
deletion	0.698	0	No-evidence
deletion	0.171	-2	BP4_-2
deletion	0.135	-2	BP4_-2
deletion	0.076	-2	BP4_-2
deletion	0.187	-2	BP4_-2
deletion	0.166	-2	BP4_-2
deletion	0.18	-2	BP4_-2
deletion	0.412	0	No-evidence
deletion	0.319	-1	BP4_-1
deletion	0.096	-2	BP4_-2
deletion	0.153	-2	BP4_-2
deletion	0.123	-2	BP4_-2
deletion	0.265	-1	BP4_-1
deletion	0.902	1	PP3_+1
deletion	0.937	2	PP3_+2
deletion	0.331	0	No-evidence
deletion	0.756	1	PP3_+1
deletion	0.781	1	PP3_+1
deletion	0.826	1	PP3_+1
deletion	0.819	1	PP3_+1
deletion	0.153	-2	BP4_-2
deletion	0.709	0	No-evidence
deletion	0.312	-1	BP4_-1
deletion	0.902	1	PP3_+1
deletion	0.222	-2	BP4_-2
deletion	0.491	0	No-evidence
deletion	0.042	-2	BP4_-2
deletion	0.14	-2	BP4_-2
deletion	0.17	-2	BP4_-2
deletion	0.22	-2	BP4_-2
deletion	0.136	-2	BP4_-2
deletion	0.229	-2	BP4_-2
deletion	0.053	-2	BP4_-2
deletion	0.119	-2	BP4_-2
deletion	0.265	-1	BP4_-1
deletion	0.144	-2	BP4_-2
deletion	0.178	-2	BP4_-2
deletion	0.081	-2	BP4_-2
deletion	0.137	-2	BP4_-2
deletion	0.164	-2	BP4_-2
deletion	0.117	-2	BP4_-2
deletion	0.092	-2	BP4_-2
deletion	0.054	-2	BP4_-2
deletion	0.086	-2	BP4_-2
deletion	0.136	-2	BP4_-2
deletion	0.017	-4	BP4_-4
deletion	0.104	-2	BP4_-2
deletion	0.144	-2	BP4_-2
deletion	0.1	-2	BP4_-2
deletion	0.103	-2	BP4_-2
deletion	0.086	-2	BP4_-2
deletion	0.186	-2	BP4_-2
deletion	0.336	0	No-evidence
deletion	0.067	-2	BP4_-2
deletion	0.931	2	PP3_+2
deletion	0.146	-2	BP4_-2
deletion	0.092	-2	BP4_-2
deletion	0.847	1	PP3_+1
deletion	0.143	-2	BP4_-2
deletion	0.126	-2	BP4_-2
deletion	0.097	-2	BP4_-2
deletion	0.12	-2	BP4_-2
deletion	0.764	1	PP3_+1
deletion	0.179	-2	BP4_-2
deletion	0.098	-2	BP4_-2
deletion	0.195	-2	BP4_-2
deletion	0.953	2	PP3_+2
deletion	0.292	-1	BP4_-1
deletion	0.648	0	No-evidence
deletion	0.231	-2	BP4_-2
deletion	0.717	0	No-evidence
deletion	0.281	-1	BP4_-1
deletion	0.068	-2	BP4_-2
deletion	0.108	-2	BP4_-2
deletion	0.025	-4	BP4_-4
deletion	0.047	-2	BP4_-2
deletion	0.113	-2	BP4_-2
deletion	0.097	-2	BP4_-2
deletion	0.199	-2	BP4_-2
deletion	0.106	-2	BP4_-2
deletion	0.13	-2	BP4_-2
deletion	0.024	-4	BP4_-4
deletion	0.036	-3	BP4_-3
deletion	0.008	-4	BP4_-4
deletion	0.005	-4	BP4_-4
deletion	0.225	-2	BP4_-2
deletion	0.277	-1	BP4_-1
deletion	0.199	-2	BP4_-2
deletion	0.863	1	PP3_+1
deletion	0.814	1	PP3_+1
deletion	0.718	0	No-evidence
deletion	0.161	-2	BP4_-2
deletion	0.857	1	PP3_+1
deletion	0.773	1	PP3_+1
deletion	0.944	2	PP3_+2
deletion	0.806	1	PP3_+1
deletion	0.31	-1	BP4_-1
deletion	0.4	0	No-evidence
deletion	0.243	-2	BP4_-2
deletion	0.304	-1	BP4_-1
deletion	0.113	-2	BP4_-2
deletion	0.177	-2	BP4_-2
deletion	0.399	0	No-evidence
deletion	0.434	0	No-evidence
deletion	0.235	-2	BP4_-2
deletion	0.604	0	No-evidence
deletion	0.705	0	No-evidence
deletion	0.735	1	PP3_+1
deletion	0.796	1	PP3_+1
deletion	0.78	1	PP3_+1
deletion	0.842	1	PP3_+1
deletion	0.949	2	PP3_+2
deletion	0.438	0	No-evidence
deletion	0.019	-4	BP4_-4
deletion	0.013	-4	BP4_-4
deletion	0.105	-2	BP4_-2
deletion	0.466	0	No-evidence
deletion	0.545	0	No-evidence
deletion	0.964	3	PP3_+3
deletion	0.838	1	PP3_+1
deletion	0.899	1	PP3_+1
deletion	0.994	3	PP3_+3
deletion	0.978	3	PP3_+3
deletion	0.822	1	PP3_+1
deletion	0.964	3	PP3_+3
deletion	0.345	0	No-evidence
deletion	0.297	-1	BP4_-1
deletion	0.281	-1	BP4_-1
deletion	0.303	-1	BP4_-1
deletion	0.952	2	PP3_+2
deletion	0.454	0	No-evidence
deletion	0.595	0	No-evidence
deletion	0.465	0	No-evidence
deletion	0.848	1	PP3_+1
deletion	0.987	3	PP3_+3
deletion	0.945	2	PP3_+2
deletion	0.951	2	PP3_+2
deletion	0.373	0	No-evidence
deletion	0.607	0	No-evidence
deletion	0.573	0	No-evidence
deletion	0.952	2	PP3_+2
deletion	0.881	1	PP3_+1
deletion	0.118	-2	BP4_-2
deletion	0.847	1	PP3_+1
deletion	0.048	-2	BP4_-2
deletion	0.073	-2	BP4_-2
deletion	0.068	-2	BP4_-2
deletion	0.651	0	No-evidence
deletion	0.815	1	PP3_+1
deletion	0.784	1	PP3_+1
deletion	0.821	1	PP3_+1
deletion	0.923	2	PP3_+2
deletion	0.766	1	PP3_+1
deletion	0.971	3	PP3_+3
deletion	0.924	2	PP3_+2
deletion	0.767	1	PP3_+1
deletion	0.764	1	PP3_+1
deletion	0.962	3	PP3_+3
deletion	0.982	3	PP3_+3
deletion	0.903	1	PP3_+1
deletion	0.9	1	PP3_+1
deletion	0.966	3	PP3_+3
deletion	0.986	3	PP3_+3
deletion	0.81	1	PP3_+1
deletion	0.981	3	PP3_+3
deletion	0.992	3	PP3_+3
deletion	0.127	-2	BP4_-2
deletion	0.458	0	No-evidence
deletion	0.918	2	PP3_+2
deletion	0.942	2	PP3_+2
deletion	0.945	2	PP3_+2
deletion	0.946	2	PP3_+2
deletion	0.923	2	PP3_+2
deletion	0.866	1	PP3_+1
deletion	0.972	3	PP3_+3
deletion	0.966	3	PP3_+3
deletion	0.923	2	PP3_+2
